Variant Group,Variant,Applies To Requirement IDs,Description,Test Impact,Acceptance Criteria Group,V1
Neo4j Config,Strict validation toggle,NEO-003,Support strict config validation setting.,Config AC,AC-NEO-CONFIG,Yes
Neo4j Config,SPeeDy feature flag,NEO-003,Support sharded property database feature flag.,Config AC,AC-NEO-CONFIG,No
APOC,APOC config,NEO-003,Apply APOC configuration.,APOC AC,AC-NEO-APOC,No
APOC,APOC credentials,NEO-003; NEO-004,Mount APOC credentials from secrets.,APOC/secrets AC,AC-NEO-APOC-CREDS,No
JVM,Default arguments,NEO-003,Use Neo4j default JVM arguments.,Config AC,AC-NEO-CONFIG,Yes
JVM,Additional arguments,NEO-003,Append custom JVM arguments.,Config AC,AC-NEO-CONFIG,Yes
Credentials,Generated password,NEO-004,Generate password when not provided.,Secret AC,AC-NEO-SECRETS,Yes
Credentials,Password from Secret,NEO-004,Use existing Kubernetes Secret for initial Neo4j password.,Secret AC,AC-NEO-SECRETS,Yes
Secrets,Secret mounts,NEO-004; NEO-014,Mount arbitrary Kubernetes Secrets into Neo4j pod.,Secret AC,AC-NEO-SECRETS,Yes
Secrets,LDAP password secret,NEO-004,Mount LDAP system account password from Secret.,Secret AC,AC-NEO-LDAP,No
Image Pull Secrets,Existing pull secret,NEO-004,Use existing image pull secret.,Image AC,AC-NEO-IMAGE,Yes
Image Pull Secrets,Create image credential secret,NEO-004,Create docker-registry secret from provided credentials.,Image AC,AC-NEO-IMAGE,No
TLS Mode,Bolt TLS,NEO-005,Configure TLS material for Bolt.,TLS AC,AC-NEO-TLS,Yes
TLS Mode,HTTPS TLS,NEO-005,Configure TLS material for HTTPS.,TLS AC,AC-NEO-TLS,Yes
TLS Mode,Cluster TLS,NEO-005,Configure TLS material for cluster communication.,TLS/cluster AC,AC-NEO-TLS; AC-NEO-CLUSTER,Yes
TLS Mode,TLS reload,NEO-005,Enable automatic TLS certificate reload.,TLS AC,AC-NEO-TLS-RELOAD,Yes
Scheduling,Node selector,NEO-008,Constrain pods to selected nodes.,Scheduling AC,AC-NEO-SCHEDULING,Yes
Scheduling,Affinity / anti-affinity,NEO-008,Configure node affinity and pod anti-affinity.,Scheduling AC,AC-NEO-SCHEDULING,Yes
Scheduling,Tolerations,NEO-008,Allow scheduling on tainted nodes.,Scheduling AC,AC-NEO-SCHEDULING,Yes
Scheduling,Topology spread,NEO-008,Distribute pods across topology domains.,Scheduling AC,AC-NEO-SCHEDULING,Yes
Scheduling,Priority class,NEO-008,Set pod priority class.,Scheduling AC,AC-NEO-SCHEDULING,No
Scheduling,Service account,NEO-008; NEO-014,Set pod service account for workload identity/cloud access.,Scheduling/secrets AC,AC-NEO-SCHEDULING,Yes
Probe Profile,Default Neo4j probes,NEO-009,Use default startup/readiness/liveness probes.,Probe AC,AC-NEO-PROBES,Yes
Probe Profile,Custom probes,NEO-009,Allow users to customize probe thresholds/timeouts.,Probe AC,AC-NEO-PROBES,Yes
Restart Strategy,Controlled restart,NEO-010,Restart Neo4j workload when config requires it.,Config change AC,AC-NEO-CONFIG-CHANGE,Yes
Restart Strategy,Rolling restart,NEO-010; NEO-002,Restart cluster members safely one by one.,Config change/cluster AC,AC-NEO-CONFIG-CHANGE; AC-NEO-CLUSTER,Yes
Upgrade Strategy,Neo4j image upgrade,NEO-012,Change Neo4j image tag/repository/version.,Upgrade AC,AC-NEO-UPGRADE,Yes
Upgrade Strategy,Preflight validation,NEO-012,"Validate health, storage, version, and cluster state before upgrade.",Upgrade AC,AC-NEO-UPGRADE,Yes
Backup Mode,On-demand,NEO-013,Create backup by user request.,Backup AC,AC-NEO-BACKUP-ONDEMAND,Yes
Backup Mode,Scheduled,NEO-013,Create backups on a defined schedule.,Backup AC,AC-NEO-BACKUP-SCHEDULED,Yes
Backup Storage,Shared local volume,NEO-013,Write backups to shared volume.,Backup AC,AC-NEO-BACKUP,Yes
Backup Storage,Dedicated PVC,NEO-013,Write backups to a dedicated PVC.,Backup/storage AC,AC-NEO-BACKUP,Yes
Backup Storage,Cloud object storage,NEO-013; NEO-014,Use S3/GCS/Azure via mounted credentials or workload identity.,Backup/cloud storage AC,AC-NEO-BACKUP-CLOUD; AC-NEO-CLOUDSTORAGE-MI; AC-NEO-CLOUDSTORAGE,No
Restore Mode,Restore from backup volume,NEO-014,Restore from local/PVC backup location.,Restore AC,AC-NEO-RESTORE,Yes
Restore Mode,Restore from seed URI,NEO-014,"Restore from seed URI, including private bucket credentials.",Restore AC,AC-NEO-RESTORE-SEEDURI,Yes
Monitoring Mode,Disabled,NEO-015,Deploy without ServiceMonitor.,Monitoring AC,AC-NEO-MONITORING,Yes
Monitoring Mode,ServiceMonitor,NEO-015,Create ServiceMonitor when CRD exists.,Monitoring AC,AC-NEO-MONITORING-SERVICEMONITOR,Yes
Logging Mode,Default logs,NEO-016,Use default Neo4j logging configuration.,Logging AC,AC-NEO-LOGGING,Yes
Logging Mode,Custom log config,NEO-016,Apply custom serverLogsXml and userLogsXml.,Logging AC,AC-NEO-LOGGING,Yes
Maintenance Mode,Offline maintenance,NEO-017,Restart StatefulSet without Neo4j process running.,Maintenance AC,AC-NEO-MAINTENANCE-OFFLINE,No
Job Type,Dump/load,NEO-017,Run neo4j-admin dump/load jobs.,Maintenance AC,AC-NEO-MAINTENANCE-JOBS,No
Job Type,Consistency check,NEO-017,Run consistency check jobs.,Maintenance AC,AC-NEO-MAINTENANCE-JOBS,No
Job Type,Backup verification,NEO-017,Verify backup integrity.,Maintenance AC,AC-NEO-MAINTENANCE-JOBS,No
