Test ID,Cloud,Category,Component,Test Scenario,Preconditions,Test Steps,Expected Result,Priority,Automation Candidate,Result (Pass/Fail),P1: MvP,P2: Enhancements,P3: Hardening,Comments,Source TC ID,Requirement IDs,Gap Type,Existing Match,V1/V2 Scope,V1 ID
T0038,AWS,Security,TLS cert rotation,Validate TLS cert rotation on AWS,Cluster and operator installed,Execute workflow for TLS cert rotation and observe reconciliation,Operator converges desired and actual state without errors,High,Yes,,,,,,,,Existing,,AWS-followon,
T0039,AWS,Security,Network policies,Validate Network policies on AWS,Cluster and operator installed,Execute workflow for Network policies and observe reconciliation,Operator converges desired and actual state without errors,High,Yes,,,,,,,,Existing,,AWS-followon,
T0040,AWS,Plugins,APOC install,Validate APOC install on AWS,Cluster and operator installed,Execute workflow for APOC install and observe reconciliation,Operator converges desired and actual state without errors,Medium,Yes,,,,,,,,Existing,,AWS-followon,
T0041,AWS,Plugins,Plugin upgrade,Validate Plugin upgrade on AWS,Cluster and operator installed,Execute workflow for Plugin upgrade and observe reconciliation,Operator converges desired and actual state without errors,Medium,Yes,,,,,,,,Existing,,AWS-followon,
T0042,AWS,Plugins,Plugin removal,Validate Plugin removal on AWS,Cluster and operator installed,Execute workflow for Plugin removal and observe reconciliation,Operator converges desired and actual state without errors,Medium,Yes,,,,,,,,Existing,,AWS-followon,
T0043,AWS,Plugins,Plugin reconciliation,Validate Plugin reconciliation on AWS,Cluster and operator installed,Execute workflow for Plugin reconciliation and observe reconciliation,Operator converges desired and actual state without errors,Medium,Yes,,,,,,,,Existing,,AWS-followon,
T0044,AWS,Backup & Restore,Scheduled backup,Validate Scheduled backup on AWS,Cluster and operator installed,Execute workflow for Scheduled backup and observe reconciliation,Operator converges desired and actual state without errors,High,Yes,,,,,,,,Existing,,AWS-followon,
T0045,AWS,Backup & Restore,On-demand backup,Validate On-demand backup on AWS,Cluster and operator installed,Execute workflow for On-demand backup and observe reconciliation,Operator converges desired and actual state without errors,High,Yes,,,,,,,,Existing,,AWS-followon,
T0046,AWS,Backup & Restore,Restore full backup,Validate Restore full backup on AWS,Cluster and operator installed,Execute workflow for Restore full backup and observe reconciliation,Operator converges desired and actual state without errors,High,Yes,,,,,,,,Existing,,AWS-followon,
T0047,AWS,Backup & Restore,Point-in-time recovery,Validate Point-in-time recovery on AWS,Cluster and operator installed,Execute workflow for Point-in-time recovery and observe reconciliation,Operator converges desired and actual state without errors,High,Yes,,,,,,,,Existing,,AWS-followon,
T0048,AWS,Backup & Restore,Backup failure handling,Validate Backup failure handling on AWS,Cluster and operator installed,Execute workflow for Backup failure handling and observe reconciliation,Operator converges desired and actual state without errors,High,Yes,,,,,,,,Existing,,AWS-followon,
T0049,AWS,Backup & Restore,Cross-region restore,Validate Cross-region restore on AWS,Cluster and operator installed,Execute workflow for Cross-region restore and observe reconciliation,Operator converges desired and actual state without errors,High,Yes,,,,,,,,Existing,,AWS-followon,
T0050,AWS,Sharded Databases,Create sharded database,Validate Create sharded database on AWS,Cluster and operator installed,Execute workflow for Create sharded database and observe reconciliation,Operator converges desired and actual state without errors,Medium,Yes,,,,,,,,Existing,,AWS-followon,
T0051,AWS,Sharded Databases,Shard rebalance,Validate Shard rebalance on AWS,Cluster and operator installed,Execute workflow for Shard rebalance and observe reconciliation,Operator converges desired and actual state without errors,Medium,Yes,,,,,,,,Existing,,AWS-followon,
T0052,AWS,Sharded Databases,Shard failure recovery,Validate Shard failure recovery on AWS,Cluster and operator installed,Execute workflow for Shard failure recovery and observe reconciliation,Operator converges desired and actual state without errors,Medium,Yes,,,,,,,,Existing,,AWS-followon,
T0053,AWS,Observability,Metrics exposure,Validate Metrics exposure on AWS,Cluster and operator installed,Execute workflow for Metrics exposure and observe reconciliation,Operator converges desired and actual state without errors,Medium,Yes,,,,,,,,Existing,,AWS-followon,
T0054,AWS,Observability,Prometheus scraping,Validate Prometheus scraping on AWS,Cluster and operator installed,Execute workflow for Prometheus scraping and observe reconciliation,Operator converges desired and actual state without errors,Medium,Yes,,,,,,,,Existing,,AWS-followon,
T0055,AWS,Observability,Health status updates,Validate Health status updates on AWS,Cluster and operator installed,Execute workflow for Health status updates and observe reconciliation,Operator converges desired and actual state without errors,Medium,Yes,,,,,,,,Existing,,AWS-followon,
T0056,AWS,Observability,Diagnostics collection,Validate Diagnostics collection on AWS,Cluster and operator installed,Execute workflow for Diagnostics collection and observe reconciliation,Operator converges desired and actual state without errors,Medium,Yes,,,,,,,,Existing,,AWS-followon,
T0057,AWS,Observability,Log aggregation,Validate Log aggregation on AWS,Cluster and operator installed,Execute workflow for Log aggregation and observe reconciliation,Operator converges desired and actual state without errors,Medium,Yes,,,,,,,,Existing,,AWS-followon,
T0058,AWS,Observability,Alert generation,Validate Alert generation on AWS,Cluster and operator installed,Execute workflow for Alert generation and observe reconciliation,Operator converges desired and actual state without errors,Medium,Yes,,,,,,,,Existing,,AWS-followon,
T0059,AWS,Failure & Resilience,Pod crash recovery,Validate Pod crash recovery on AWS,Cluster and operator installed,Execute workflow for Pod crash recovery and observe reconciliation,Operator converges desired and actual state without errors,High,Yes,,,,,,,,Existing,,AWS-followon,
T0060,AWS,Failure & Resilience,Node drain,Validate Node drain on AWS,Cluster and operator installed,Execute workflow for Node drain and observe reconciliation,Operator converges desired and actual state without errors,High,Yes,,,,,,,,Existing,,AWS-followon,
T0061,AWS,Failure & Resilience,AZ failure,Validate AZ failure on AWS,Cluster and operator installed,Execute workflow for AZ failure and observe reconciliation,Operator converges desired and actual state without errors,High,Yes,,,,,,,,Existing,,AWS-followon,
T0062,AWS,Failure & Resilience,Storage latency,Validate Storage latency on AWS,Cluster and operator installed,Execute workflow for Storage latency and observe reconciliation,Operator converges desired and actual state without errors,High,Yes,,,,,,,,Existing,,AWS-followon,
T0063,AWS,Failure & Resilience,K8s API outage,Validate K8s API outage on AWS,Cluster and operator installed,Execute workflow for K8s API outage and observe reconciliation,Operator converges desired and actual state without errors,High,Yes,,,,,,,,Existing,,AWS-followon,
T0064,AWS,Failure & Resilience,Neo4j process crash,Validate Neo4j process crash on AWS,Cluster and operator installed,Execute workflow for Neo4j process crash and observe reconciliation,Operator converges desired and actual state without errors,High,Yes,,,,,,,,Existing,,AWS-followon,
T0065,AWS,Failure & Resilience,Secret deletion recovery,Validate Secret deletion recovery on AWS,Cluster and operator installed,Execute workflow for Secret deletion recovery and observe reconciliation,Operator converges desired and actual state without errors,High,Yes,,,,,,,,Existing,,AWS-followon,
T0066,AWS,Performance & Scale,100 databases,Validate 100 databases on AWS,Cluster and operator installed,Execute workflow for 100 databases and observe reconciliation,Operator converges desired and actual state without errors,Medium,Yes,,,,,,,,Existing,,AWS-followon,
T0067,AWS,Performance & Scale,1000 users,Validate 1000 users on AWS,Cluster and operator installed,Execute workflow for 1000 users and observe reconciliation,Operator converges desired and actual state without errors,Medium,Yes,,,,,,,,Existing,,AWS-followon,
T0068,AWS,Performance & Scale,Large graph load,Validate Large graph load on AWS,Cluster and operator installed,Execute workflow for Large graph load and observe reconciliation,Operator converges desired and actual state without errors,Medium,Yes,,,,,,,,Existing,,AWS-followon,
T0069,AWS,Performance & Scale,Concurrent reconciles,Validate Concurrent reconciles on AWS,Cluster and operator installed,Execute workflow for Concurrent reconciles and observe reconciliation,Operator converges desired and actual state without errors,Medium,Yes,,,,,,,,Existing,,AWS-followon,
T0070,AWS,Performance & Scale,Operator memory usage,Validate Operator memory usage on AWS,Cluster and operator installed,Execute workflow for Operator memory usage and observe reconciliation,Operator converges desired and actual state without errors,Medium,Yes,,,,,,,,Existing,,AWS-followon,
T0071,AWS,Performance & Scale,Operator CPU usage,Validate Operator CPU usage on AWS,Cluster and operator installed,Execute workflow for Operator CPU usage and observe reconciliation,Operator converges desired and actual state without errors,Medium,Yes,,,,,,,,Existing,,AWS-followon,
T0072,AWS,Cloud Specific,Load balancer integration,Validate Load balancer integration on AWS,Cluster and operator installed,Execute workflow for Load balancer integration and observe reconciliation,Operator converges desired and actual state without errors,Medium,Yes,,,,,,,,Existing,,AWS-followon,
T0073,AWS,Cloud Specific,Managed disk expansion,Validate Managed disk expansion on AWS,Cluster and operator installed,Execute workflow for Managed disk expansion and observe reconciliation,Operator converges desired and actual state without errors,Medium,Yes,,,,,,,,Existing,,AWS-followon,
T0074,AWS,Cloud Specific,CSI snapshots,Validate CSI snapshots on AWS,Cluster and operator installed,Execute workflow for CSI snapshots and observe reconciliation,Operator converges desired and actual state without errors,Medium,Yes,,,,,,,,Existing,,AWS-followon,
T0075,AWS,Cloud Specific,IAM/Workload identity integration,Validate IAM/Workload identity integration on AWS,Cluster and operator installed,Execute workflow for IAM/Workload identity integration and observe reconciliation,Operator converges desired and actual state without errors,Medium,Yes,,,,,,,,Existing,,AWS-followon,
T0076,AWS,Cloud Specific,Private cluster networking,Validate Private cluster networking on AWS,Cluster and operator installed,Execute workflow for Private cluster networking and observe reconciliation,Operator converges desired and actual state without errors,Medium,Yes,,,,,,,,Existing,,AWS-followon,
T0077,Azure,Installation & Upgrade,Helm install operator,Validate Helm install operator on Azure,Cluster and operator installed,Execute workflow for Helm install operator and observe reconciliation,Operator converges desired and actual state without errors,Medium,Yes,,,,,,,,Existing,,V1,V1-001
T0078,Azure,Installation & Upgrade,CRD installation,Validate CRD installation on Azure,Cluster and operator installed,Execute workflow for CRD installation and observe reconciliation,Operator converges desired and actual state without errors,Medium,Yes,,,,,,,,Existing,,V1,V1-002
T0079,Azure,Installation & Upgrade,Operator restart recovery,Validate Operator restart recovery on Azure,Cluster and operator installed,Execute workflow for Operator restart recovery and observe reconciliation,Operator converges desired and actual state without errors,Medium,Yes,,,,,,,,Existing,,V1,V1-003
T0080,Azure,Installation & Upgrade,Upgrade operator version,Validate Upgrade operator version on Azure,Cluster and operator installed,Execute workflow for Upgrade operator version and observe reconciliation,Operator converges desired and actual state without errors,Medium,Yes,,,,,,,,Existing,,V1,V1-050
T0081,Azure,Installation & Upgrade,Rollback operator version,Validate Rollback operator version on Azure,Cluster and operator installed,Execute workflow for Rollback operator version and observe reconciliation,Operator converges desired and actual state without errors,Medium,Yes,,,,,,,,Existing,,V1,V1-051
T0082,Azure,Installation & Upgrade,Namespace isolation,Validate Namespace isolation on Azure,Cluster and operator installed,Execute workflow for Namespace isolation and observe reconciliation,Operator converges desired and actual state without errors,Medium,Yes,,,,,,,,Existing,,V1,V1-004
T0083,Azure,Installation & Upgrade,RBAC validation,Validate RBAC validation on Azure,Cluster and operator installed,Execute workflow for RBAC validation and observe reconciliation,Operator converges desired and actual state without errors,Medium,Yes,,,,,,,,Existing,,V1,V1-005
T0084,Azure,Installation & Upgrade,Multi-cluster deployment,Validate Multi-cluster deployment on Azure,Cluster and operator installed,Execute workflow for Multi-cluster deployment and observe reconciliation,Operator converges desired and actual state without errors,Medium,Yes,,,,,,,,Existing,,V1-Hardening,
T0085,Azure,Standalone Deployment,Create standalone instance,Validate Create standalone instance on Azure,Cluster and operator installed,Execute workflow for Create standalone instance and observe reconciliation,Operator converges desired and actual state without errors,Medium,Yes,,,,,,,,Existing,,V1,V1-011
T0086,Azure,Standalone Deployment,Scale storage,Validate Scale storage on Azure,Cluster and operator installed,Execute workflow for Scale storage and observe reconciliation,Operator converges desired and actual state without errors,Medium,Yes,,,,,,,,Existing,,V1,V1-014
T0087,Azure,Standalone Deployment,Secret rotation,Validate Secret rotation on Azure,Cluster and operator installed,Execute workflow for Secret rotation and observe reconciliation,Operator converges desired and actual state without errors,Medium,Yes,,,,,,,,Existing,,V1,V1-016
T0088,Azure,Standalone Deployment,Image version upgrade,Validate Image version upgrade on Azure,Cluster and operator installed,Execute workflow for Image version upgrade and observe reconciliation,Operator converges desired and actual state without errors,Medium,Yes,,,,,,,,Existing,,V1,V1-013
T0089,Azure,Standalone Deployment,Resource limits,Validate Resource limits on Azure,Cluster and operator installed,Execute workflow for Resource limits and observe reconciliation,Operator converges desired and actual state without errors,Medium,Yes,,,,,,,,Existing,,V1,V1-012
T0090,Azure,Standalone Deployment,Node failure recovery,Validate Node failure recovery on Azure,Cluster and operator installed,Execute workflow for Node failure recovery and observe reconciliation,Operator converges desired and actual state without errors,Medium,Yes,,,,,,,,Existing,,V1,V1-052
T0091,Azure,Standalone Deployment,PVC retention,Validate PVC retention on Azure,Cluster and operator installed,Execute workflow for PVC retention and observe reconciliation,Operator converges desired and actual state without errors,Medium,Yes,,,,,,,,Existing,,V2,
T0092,Azure,Standalone Deployment,Config change reconciliation,Validate Config change reconciliation on Azure,Cluster and operator installed,Execute workflow for Config change reconciliation and observe reconciliation,Operator converges desired and actual state without errors,Medium,Yes,,,,,,,,Existing,,V1,V1-015
T0093,Azure,Cluster Deployment,3-node cluster creation,Validate 3-node cluster creation on Azure,Cluster and operator installed,Execute workflow for 3-node cluster creation and observe reconciliation,Operator converges desired and actual state without errors,High,Yes,,,,,,,,Existing,,V1,V1-021
T0094,Azure,Cluster Deployment,5-node cluster creation,Validate 5-node cluster creation on Azure,Cluster and operator installed,Execute workflow for 5-node cluster creation and observe reconciliation,Operator converges desired and actual state without errors,High,Yes,,,,,,,,Existing,,V1,V1-022
T0095,Azure,Cluster Deployment,Cluster scale out,Validate Cluster scale out on Azure,Cluster and operator installed,Execute workflow for Cluster scale out and observe reconciliation,Operator converges desired and actual state without errors,High,Yes,,,,,,,,Existing,,V1,V1-023
T0096,Azure,Cluster Deployment,Cluster scale in,Validate Cluster scale in on Azure,Cluster and operator installed,Execute workflow for Cluster scale in and observe reconciliation,Operator converges desired and actual state without errors,High,Yes,,,,,,,,Existing,,V1,V1-024
T0097,Azure,Cluster Deployment,Rolling restart,Validate Rolling restart on Azure,Cluster and operator installed,Execute workflow for Rolling restart and observe reconciliation,Operator converges desired and actual state without errors,High,Yes,,,,,,,,Existing,,V1,V1-025
T0098,Azure,Cluster Deployment,TLS enabled cluster,Validate TLS enabled cluster on Azure,Cluster and operator installed,Execute workflow for TLS enabled cluster and observe reconciliation,Operator converges desired and actual state without errors,High,Yes,,,,,,,,Existing,,V1,V1-035
T0099,Azure,Cluster Deployment,Cross-zone scheduling,Validate Cross-zone scheduling on Azure,Cluster and operator installed,Execute workflow for Cross-zone scheduling and observe reconciliation,Operator converges desired and actual state without errors,High,Yes,,,,,,,,Existing,,V1,V1-026
T0100,Azure,Cluster Deployment,Split-brain prevention,Validate Split-brain prevention on Azure,Cluster and operator installed,Execute workflow for Split-brain prevention and observe reconciliation,Operator converges desired and actual state without errors,High,Yes,,,,,,,,Existing,,V1,V1-027
T0101,Azure,Database CRD,Create database,Validate Create database on Azure,Cluster and operator installed,Execute workflow for Create database and observe reconciliation,Operator converges desired and actual state without errors,Medium,Yes,,,,,,,,Existing,,V2,
T0102,Azure,Database CRD,Topology changes,Validate Topology changes on Azure,Cluster and operator installed,Execute workflow for Topology changes and observe reconciliation,Operator converges desired and actual state without errors,Medium,Yes,,,,,,,,Existing,,V2,
T0103,Azure,Database CRD,Initial Cypher seed,Validate Initial Cypher seed on Azure,Cluster and operator installed,Execute workflow for Initial Cypher seed and observe reconciliation,Operator converges desired and actual state without errors,Medium,Yes,,,,,,,,Existing,,V2,
T0104,Azure,Database CRD,Database deletion,Validate Database deletion on Azure,Cluster and operator installed,Execute workflow for Database deletion and observe reconciliation,Operator converges desired and actual state without errors,Medium,Yes,,,,,,,,Existing,,V2,
T0105,Azure,Database CRD,ifNotExists behavior,Validate ifNotExists behavior on Azure,Cluster and operator installed,Execute workflow for ifNotExists behavior and observe reconciliation,Operator converges desired and actual state without errors,Medium,Yes,,,,,,,,Existing,,V2,
T0106,Azure,Database CRD,Wait semantics,Validate Wait semantics on Azure,Cluster and operator installed,Execute workflow for Wait semantics and observe reconciliation,Operator converges desired and actual state without errors,Medium,Yes,,,,,,,,Existing,,V2,
T0107,Azure,Database CRD,Concurrent database creation,Validate Concurrent database creation on Azure,Cluster and operator installed,Execute workflow for Concurrent database creation and observe reconciliation,Operator converges desired and actual state without errors,Medium,Yes,,,,,,,,Existing,,V2,
T0108,Azure,Security,Admin secret rotation,Validate Admin secret rotation on Azure,Cluster and operator installed,Execute workflow for Admin secret rotation and observe reconciliation,Operator converges desired and actual state without errors,High,Yes,,,,,,,,Existing,,V1,V1-037
T0109,Azure,Security,Native auth,Validate Native auth on Azure,Cluster and operator installed,Execute workflow for Native auth and observe reconciliation,Operator converges desired and actual state without errors,High,Yes,,,,,,,,Existing,,V1,V1-038
T0110,Azure,Security,Role creation,Validate Role creation on Azure,Cluster and operator installed,Execute workflow for Role creation and observe reconciliation,Operator converges desired and actual state without errors,High,Yes,,,,,,,,Existing,,V2,
T0111,Azure,Security,User creation,Validate User creation on Azure,Cluster and operator installed,Execute workflow for User creation and observe reconciliation,Operator converges desired and actual state without errors,High,Yes,,,,,,,,Existing,,V2,
T0112,Azure,Security,Role binding,Validate Role binding on Azure,Cluster and operator installed,Execute workflow for Role binding and observe reconciliation,Operator converges desired and actual state without errors,High,Yes,,,,,,,,Existing,,V2,
T0113,Azure,Security,Privilege reconciliation,Validate Privilege reconciliation on Azure,Cluster and operator installed,Execute workflow for Privilege reconciliation and observe reconciliation,Operator converges desired and actual state without errors,High,Yes,,,,,,,,Existing,,V2,
T0114,Azure,Security,TLS cert rotation,Validate TLS cert rotation on Azure,Cluster and operator installed,Execute workflow for TLS cert rotation and observe reconciliation,Operator converges desired and actual state without errors,High,Yes,,,,,,,,Existing,,V1,V1-036
T0115,Azure,Security,Network policies,Validate Network policies on Azure,Cluster and operator installed,Execute workflow for Network policies and observe reconciliation,Operator converges desired and actual state without errors,High,Yes,,,,,,,,Existing,,V1-Hardening,
T0116,Azure,Plugins,APOC install,Validate APOC install on Azure,Cluster and operator installed,Execute workflow for APOC install and observe reconciliation,Operator converges desired and actual state without errors,Medium,Yes,,,,,,,,Existing,,V2,
T0117,Azure,Plugins,Plugin upgrade,Validate Plugin upgrade on Azure,Cluster and operator installed,Execute workflow for Plugin upgrade and observe reconciliation,Operator converges desired and actual state without errors,Medium,Yes,,,,,,,,Existing,,V2,
T0118,Azure,Plugins,Plugin removal,Validate Plugin removal on Azure,Cluster and operator installed,Execute workflow for Plugin removal and observe reconciliation,Operator converges desired and actual state without errors,Medium,Yes,,,,,,,,Existing,,V2,
T0119,Azure,Plugins,Plugin reconciliation,Validate Plugin reconciliation on Azure,Cluster and operator installed,Execute workflow for Plugin reconciliation and observe reconciliation,Operator converges desired and actual state without errors,Medium,Yes,,,,,,,,Existing,,V2,
T0120,Azure,Backup & Restore,Scheduled backup,Validate Scheduled backup on Azure,Cluster and operator installed,Execute workflow for Scheduled backup and observe reconciliation,Operator converges desired and actual state without errors,High,Yes,,,,,,,,Existing,,V2,
T0121,Azure,Backup & Restore,On-demand backup,Validate On-demand backup on Azure,Cluster and operator installed,Execute workflow for On-demand backup and observe reconciliation,Operator converges desired and actual state without errors,High,Yes,,,,,,,,Existing,,V2,
T0122,Azure,Backup & Restore,Restore full backup,Validate Restore full backup on Azure,Cluster and operator installed,Execute workflow for Restore full backup and observe reconciliation,Operator converges desired and actual state without errors,High,Yes,,,,,,,,Existing,,V2,
