helm_path,domain,category,client_need,neo4j_doc_ref,helm_code_refs,k8s_resources,crd_target,aggregation_group,versioning,bdr_id,fr_ids,status
neo4j.operations.image,topology-lifecycle,lifecycle,Platform teams pin the operations Job container image for supply-chain and air-gapped registries.,https://neo4j.com/docs/operations-manual/current/kubernetes/,neo4j-operations.yaml L32; release_values.go#Operations.Image,Job pod container image,N/A (operator-internal),AGG-TOPO-ROLES,safe,BDR-002; BDR-009,NEO-2-011,draft
neo4j.operations.protocol,topology-lifecycle,lifecycle,TLS-enabled clusters need correct Neo4j driver URI scheme for operations Job Bolt connectivity.,https://neo4j.com/docs/operations-manual/current/configuration/ports/,neo4j-operations.yaml L58-59; release_values.go#Operations.Protocol,Job pod env PROTOCOL,Derived from spec.trust (operator),AGG-TOPO-ROLES,safe,BDR-002; BDR-009,NEO-2-011; NEO-2-005,draft
neo4j.operations.ssl,topology-lifecycle,lifecycle,Operations Job must mirror Bolt TLS client options when enabling servers on secured clusters.,https://neo4j.com/docs/operations-manual/current/security/ssl-framework/,neo4j-operations.yaml L60-65; release_values.go#Operations.SSL,Job pod env SSL_*,Derived from spec.trust (operator),AGG-TOPO-ROLES,safe,BDR-002; BDR-009,NEO-2-005; NEO-2-011,draft
neo4j.acceptLicenseAgreement,neo4j-core,security,Enterprise deployers must explicitly acknowledge Neo4j license terms before install proceeds.,https://neo4j.com/licensing/,_licensing.tpl; neo4j-env.yaml; neo4j-config.yaml,Env NEO4J_ACCEPT_LICENSE_AGREEMENT,Neo4j.spec.license.accept,AGG-TOPO-ROLES,breaking,BDR-002; BDR-009,NEO-2-001-LIC-01; NEO-2-001-LIC-02,draft
neo4j.offlineMaintenanceModeEnabled,neo4j-core,lifecycle,DBAs need Neo4j process stopped while pod runs for offline neo4j-admin maintenance.,https://neo4j.com/docs/operations-manual/current/backup-restore/,neo4j-statefulset.yaml L4 L88-95 L168; release_values.go#OfflineMaintenanceModeEnabled,StatefulSet command override,Neo4j.spec.maintenance.offlineMode,none,safe,,NEO-2-017,draft
neo4j.resources,neo4j-core,scheduling,Platform teams must size CPU and memory for Neo4j pods meeting chart minimums and performance SLOs.,https://neo4j.com/docs/operations-manual/current/performance/,_helpers.tpl#neo4j.resources.*; neo4j-statefulset.yaml L134,StatefulSet container resources,Neo4j.spec.resources,none,safe,,NEO-2-008,draft
logInitialPassword,neo4j-core,security,Developers need generated password visible in helm install notes for first-time connection.,https://neo4j.com/docs/operations-manual/current/kubernetes/,NOTES.txt L6 L42-43; release_values.go#LogInitialPassword,None (install notes only),N/A,AGG-AUTH,deferred,,NEO-3-004-CRED-01,draft
analytics,topology-lifecycle,topology,Teams running GDS/Bloom need Helm switch for one-primary-plus-N-secondary analytics layout scattered at file end.,https://neo4j.com/docs/graph-data-science/current/production-deployment/,neo4j-config.yaml L6-7 L104-147; neo4j-svc.yaml; neo4j-statefulset.yaml,ConfigMap *-default-config; internals Service,Neo4j.spec.topology.secondaries.analytics,AGG-TOPO-ROLES; AGG-TOPO-PLUGINS,breaking,BDR-002; BDR-004; BDR-009,NEO-1-002; NEO-2-011,draft
analytics.enabled,topology-lifecycle,topology,Enable analytics topology path opening internal cluster ports and role-specific neo4j.conf defaults.,https://neo4j.com/docs/graph-data-science/current/production-deployment/,neo4j-config.yaml L6-7 L149-157; neo4j-svc.yaml L171; neo4j-service-account.yaml,ConfigMap; internals Service; ServiceAccount,Neo4j.spec.topology.secondaries.analytics.members,AGG-TOPO-ROLES,breaking,BDR-002; BDR-009,NEO-1-002; NEO-2-011,draft
analytics.type.name,topology-lifecycle,topology,Per-release role flag: primary writer vs GDS-capable secondary in multi-release analytics cluster.,https://neo4j.com/docs/graph-data-science/current/production-deployment/,neo4j-config.yaml L6-7 L104-107 L137-147; release_values.go#Analytics.Type,ConfigMap *-default-config,Operator pool assignment (secondaries.analytics vs primaries),AGG-TOPO-ROLES; AGG-TOPO-PLUGINS,breaking,BDR-002; BDR-004; BDR-009,NEO-1-002; NEO-2-011,draft
volumes.data,storage,storage,Operators need durable persistent storage for the Neo4j database so data survives pod restarts and rescheduling.,,"_volumeTemplate.tpl (neo4j.volumeClaimTemplates, neo4j.volumes, neo4j.volumeMounts); neo4j-statefulset.yaml; neo4j.volumes.validation","StatefulSet (volumeClaimTemplates, volumes, volumeMounts)",Neo4j.spec.volumes.data,AGG-STORAGE-DATA,breaking,BDR-005,NEO-2-006; NEO-3-006-VOL-01,draft
volumes.data.mode,storage,storage,"Choose how the data volume is provisioned or bound: dynamic PVC, existing PVC, selector, or shared volume.",,_volumeTemplate.tpl (neo4j.volumeClaimTemplateSpec mode dispatch); neo4j.volumes.validation,"StatefulSet (volumeClaimTemplates, volumes, volumeMounts)",Neo4j.spec.volumes.data.mode,AGG-STORAGE-DATA,breaking,BDR-005,NEO-2-006; NEO-3-006-PVC-01; NEO-3-006-PVC-02; NEO-3-006-PVC-03; NEO-3-006-PVC-04; NEO-3-006-PVC-05,draft
volumes.data.labels,storage,storage,Apply Kubernetes labels to the data PVC when dynamically provisioned for cost allocation or policy selection.,,_volumeTemplate.tpl (neo4j.volumeClaimMetadata),PersistentVolumeClaim metadata.labels,Neo4j.spec.volumes.data.labels,AGG-STORAGE-DATA,safe,BDR-005,NEO-2-006,draft
volumes.data.disableSubPathExpr,storage,storage,Disable per-pod subPathExpr on the data mount when the backing volume layout does not support sub-path expressions.,,_volumeTemplate.tpl (neo4j.volumeMounts),StatefulSet volumeMounts,Neo4j.spec.volumes.data.disableSubPathExpr,AGG-STORAGE-DATA,breaking,BDR-005,NEO-2-006,draft
volumes.data.selector,storage,storage,Bind the data volume to existing PVs matching a label selector and storage class (pre-provisioned storage).,,_volumeTemplate.tpl (selector mode → dynamic; selectorTemplate tpl),PersistentVolumeClaim with selector,Neo4j.spec.volumes.data.selector,AGG-STORAGE-DATA,breaking,BDR-005,NEO-2-006; NEO-3-006-PVC-04,draft
volumes.data.defaultStorageClass,storage,storage,Quick-start dynamic provisioning using the cluster default StorageClass (dev/test).,,_volumeTemplate.tpl (defaultStorageClass → dynamic rewrite),PersistentVolumeClaim (default StorageClass),Neo4j.spec.volumes.data.defaultStorageClass,AGG-STORAGE-DATA,breaking,BDR-005,NEO-2-006; NEO-3-006-PVC-01,draft
volumes.data.dynamic,storage,storage,Provision data storage on a named StorageClass with explicit size and access modes.,,_volumeTemplate.tpl (dynamic → volumeClaimTemplate),PersistentVolumeClaim,Neo4j.spec.volumes.data.dynamic,AGG-STORAGE-DATA,breaking,BDR-005,NEO-2-006; NEO-3-006-PVC-02,draft
volumes.data.volume,storage,storage,Attach an explicit pre-existing volume (PVC or other) for data instead of dynamic provisioning.,,_volumeTemplate.tpl (neo4j.volumeSpec); neo4j.initChmodContainer for setOwnerAndGroupWritableFilePermissions,StatefulSet volumes (inline),Neo4j.spec.volumes.data.volume,AGG-STORAGE-DATA,breaking,BDR-005,NEO-2-006; NEO-3-006-PVC-03,draft
volumes.data.volumeClaimTemplate,storage,storage,Supply a full volumeClaimTemplate spec for advanced PVC configuration.,,_volumeTemplate.tpl (volumeClaimTemplate mode passthrough),StatefulSet volumeClaimTemplates,Neo4j.spec.volumes.data.volumeClaimTemplate,AGG-STORAGE-DATA,breaking,BDR-005,NEO-2-006; NEO-3-006-PVC-05,draft
volumes.backups,storage,storage,Dedicated or shared storage for backup files written under `/backups` for neo4j-admin backup operations.,,_volumeTemplate.tpl; neo4j-statefulset.yaml,"StatefulSet (volumeClaimTemplates, volumes, volumeMounts)",Neo4j.spec.volumes.backups,AGG-STORAGE-AUX,safe,BDR-005,NEO-2-006; NEO-2-013; NEO-3-006-VOL-02,draft
volumes.logs,storage,storage,Persistent log storage at `/logs/$(POD_NAME)` so server logs survive pod restarts.,,_volumeTemplate.tpl; neo4j-config.yaml (server.directories.logs when volumes.logs set),"StatefulSet (volumeClaimTemplates, volumes, volumeMounts)",Neo4j.spec.volumes.logs,AGG-STORAGE-AUX,safe,BDR-005,NEO-2-006; NEO-2-016; NEO-3-006-VOL-03,draft
volumes.metrics,storage,storage,Storage for CSV metrics at `/metrics/$(POD_NAME)` (Enterprise).,,_volumeTemplate.tpl; neo4j-config.yaml (server.directories.metrics when enterprise + volumes.metrics),"StatefulSet (volumeClaimTemplates, volumes, volumeMounts)",Neo4j.spec.volumes.metrics,AGG-STORAGE-AUX,safe,BDR-005,NEO-2-006; NEO-2-015; NEO-3-006-VOL-04,draft
volumes.import,storage,storage,Mount `/import` for bulk CSV import workflows.,,_volumeTemplate.tpl; neo4j-config.yaml (server.directories.import),"StatefulSet (volumeClaimTemplates, volumes, volumeMounts)",Neo4j.spec.volumes.import,AGG-STORAGE-AUX,safe,BDR-005,NEO-2-006; NEO-3-006-VOL-05,draft
volumes.licenses,storage,storage,Mount `/licenses` for Enterprise license files when not using env-based acceptance only.,,_volumeTemplate.tpl,"StatefulSet (volumeClaimTemplates, volumes, volumeMounts)",Neo4j.spec.volumes.licenses,AGG-STORAGE-AUX,safe,BDR-005,NEO-2-006; NEO-3-006-VOL-06,draft
additionalVolumes,storage,storage,Inject arbitrary extra pod volumes (escape hatch) for integrations not covered by first-class volume roles.,,_volumeTemplate.tpl (neo4j.additionalVolumes); neo4j-statefulset.yaml,StatefulSet volumes (raw YAML passthrough),Neo4j.spec.additionalMounts[].volume,AGG-STORAGE-ESCAPE,safe,,NEO-2-006,draft
additionalVolumeMounts,storage,storage,Mount additionalVolumes into the Neo4j container at custom paths.,,_volumeTemplate.tpl (neo4j.additionalVolumeMounts); neo4j-statefulset.yaml,StatefulSet volumeMounts,Neo4j.spec.additionalMounts[],AGG-STORAGE-ESCAPE,safe,,NEO-2-006,draft
secretMounts,storage,security,Mount arbitrary Kubernetes Secrets into the pod (e.g. S3 credentials for seedURI restore from private buckets).,,_secretMounts.tpl; neo4j-statefulset.yaml,StatefulSet volumes + volumeMounts (Secret),Neo4j.spec.secretMounts,AGG-STORAGE-ESCAPE,safe,,NEO-2-004; NEO-2-014; NEO-3-004-SEC-01,draft
services.default,network,network,In-cluster ClusterIP service for driver connections from workloads inside the Kubernetes cluster.,,neo4j-svc.yaml (default ClusterIP service),Service ClusterIP `{release}-neo4j`,Neo4j.spec.connectivity.internal,AGG-EXPOSURE,breaking,BDR-007,NEO-2-007; NEO-3-007-SVC-01,draft
services.neo4j,network,network,"External-facing service (LoadBalancer/NodePort) for Bolt, HTTP, and HTTPS from outside the cluster.",,neo4j-loadbalancer.yaml; _loadbalancer.tpl,Service `{neo4j.name}-lb-neo4j` (LoadBalancer/NodePort/ClusterIP),Neo4j.spec.connectivity.external,AGG-EXPOSURE,breaking,BDR-007,NEO-2-007; NEO-3-007-SVC-03,draft
services.neo4j.enabled,network,network,Toggle creation of the external LoadBalancer (or NodePort) service.,,neo4j-loadbalancer.yaml (guarded by enabled); delete-loadbalancer-hook.yaml,Service (conditional),Neo4j.spec.connectivity.external.enabled,AGG-EXPOSURE,safe,BDR-007,NEO-2-007,draft
services.neo4j.spec.type,network,network,"Choose Service type: LoadBalancer, NodePort, or ClusterIP for external access pattern.",,neo4j-loadbalancer.yaml; _loadbalancer.tpl (neo4j.services.neo4j.defaultSpec),Service spec.type,Neo4j.spec.connectivity.external.type,AGG-EXPOSURE,breaking,BDR-007,NEO-2-007; NEO-3-007-SVC-01; NEO-3-007-SVC-02; NEO-3-007-SVC-03,draft
services.neo4j.ports,network,network,"Control which Neo4j connectors are published on the external service (http, https, bolt, backup).",,neo4j-loadbalancer.yaml (per-port enabled flags),Service ports,Neo4j.spec.connectivity.external.ports,AGG-EXPOSURE,safe,BDR-007,NEO-2-007; NEO-3-007-PRT-01; NEO-3-007-PRT-02; NEO-3-007-PRT-03; NEO-3-007-PRT-04,draft
services.neo4j.multiCluster,network,network,Open internal cluster ports on the external service for multi-Kubernetes-zone/region Neo4j cluster scenarios.,,"neo4j-loadbalancer.yaml (extra ports 7688,5000,7000,6000; publishNotReadyAddresses)",Service ports + publishNotReadyAddresses,Neo4j.spec.connectivity.multiCluster,AGG-EXPOSURE,breaking,BDR-007,NEO-2-007; NEO-3-007-MULTI-02,draft
services.neo4j.cleanup,network,lifecycle,Pre-delete hook to remove shared LoadBalancer service on uninstall (avoids orphaned LB when helm.sh/resource-policy: kee...,,delete-loadbalancer-hook.yaml,"Job, ServiceAccount, Role, RoleBinding (helm hook)",N/A (operator finalizer),AGG-EXPOSURE,deferred,BDR-007,NEO-2-018,draft
services.admin,network,network,ClusterIP admin service reachable even when pods are not Ready — for backup and operational access.,,neo4j-svc.yaml (admin service); neo4j-statefulset.yaml (SERVICE_NEO4J_ADMIN env),"Service `{release}-admin` ClusterIP, publishNotReadyAddresses: true",Neo4j.spec.connectivity.internal.admin,AGG-EXPOSURE,safe,BDR-007,NEO-2-007; NEO-2-013,draft
services.internals,network,network,"Cluster-internal service for discovery, raft, routing, and inter-member traffic.",,neo4j-svc.yaml (internals; cluster ports when clusterEnabled or analytics); neo4j-config.yaml (K8S discovery),Service `{release}-internals` ClusterIP,Neo4j.spec.connectivity.internal.discovery,AGG-EXPOSURE,breaking,BDR-007,NEO-2-002; NEO-2-007,draft
clusterDomain,network,network,"Kubernetes cluster DNS suffix used in service FQDNs for discovery, routing, and client connection strings.",,neo4j-statefulset.yaml (SERVICE_* env); neo4j-config.yaml (dbms.routing.client_side.enforce_for_domains); NOTES.txt,Pod env vars (DNS FQDNs),Neo4j.spec.connectivity.clusterDomain,AGG-EXPOSURE,safe,BDR-007,NEO-2-007,draft
ssl,tls,network,"Configure TLS certificate material for Neo4j connectors (bolt, https, cluster) via Kubernetes Secrets.",,_ssl.tpl; neo4j-statefulset.yaml; neo4j-config.yaml,"StatefulSet (Secret/projected volumes), ConfigMap (neo4j.conf SSL policies)",Neo4j.spec.trust,AGG-TLS-TRUST,breaking,BDR-006,NEO-2-005,draft
ssl.bolt,tls,network,TLS for Bolt connections — mount private key and public certificate from Secrets and require encrypted Bolt.,,_ssl.tpl; neo4j-config.yaml (server.bolt.tls_level REQUIRED; dbms.ssl.policy.bolt.enabled),StatefulSet Secret volumes at /var/lib/neo4j/certificates/bolt/,Neo4j.spec.trust.certificates.bolt,AGG-TLS-TRUST,breaking,BDR-006,NEO-2-005; NEO-3-005-TLS-01,draft
ssl.https,tls,network,TLS for HTTPS (Browser / HTTP API) — mount cert material and enable HTTPS connector.,,_ssl.tpl; neo4j-config.yaml (server.https.enabled when privateKey set),StatefulSet Secret volumes at /var/lib/neo4j/certificates/https/,Neo4j.spec.trust.certificates.https,AGG-TLS-TRUST,breaking,BDR-006,NEO-2-005; NEO-3-005-TLS-02,draft
ssl.cluster,tls,network,"TLS for intra-cluster communication (discovery, raft, backup between members).",,_ssl.tpl; neo4j-config.yaml (dbms.ssl.policy.cluster.enabled),StatefulSet Secret volumes at /var/lib/neo4j/certificates/cluster/,Neo4j.spec.trust.certificates.cluster,AGG-TLS-TRUST,breaking,BDR-006,NEO-2-005; NEO-3-005-TLS-03,draft
config,config,config,Tune Neo4j server behavior via neo4j.conf key-value map beyond chart defaults,https://neo4j.com/docs/operations-manual/current/configuration/configuration-settings/,neo4j-config.yaml; release_values.go Config,ConfigMap user-config/default-config,Neo4j.spec.config,AGG-CONFIG-SURFACE,breaking,BDR-008,NEO-2-003; NEO-3-003-CFG-01; NEO-3-003-CFG-02; NEO-3-003-CFG-03,draft
jvm,config,config,Control JVM flags as structured object separate from free-form config map,https://neo4j.com/docs/operations-manual/current/configuration/jvm-configuration/,neo4j-config.yaml; release_values.go Jvm,ConfigMap user-config,Neo4j.spec.jvm,AGG-CONFIG-SURFACE,breaking,BDR-008,NEO-2-003; NEO-3-003-JVM-01; NEO-3-003-JVM-02,draft
jvm.useNeo4jDefaultJvmArguments,config,config,Include Neo4j vendor default JVM arguments in server.jvm.additional,https://neo4j.com/docs/operations-manual/current/configuration/jvm-configuration/,neo4j-config.yaml L69-71; release_values.go Jvm.UseNeo4JDefaultJvmArguments,ConfigMap user-config,Neo4j.spec.jvm.useDefaults,AGG-CONFIG-SURFACE,safe,BDR-008,NEO-3-003-JVM-01,draft
jvm.additionalJvmArguments,config,config,Append custom JVM flags to server.jvm.additional,https://neo4j.com/docs/operations-manual/current/configuration/jvm-configuration/,neo4j-config.yaml L72-74; release_values.go Jvm.AdditionalJvmArguments,ConfigMap user-config,Neo4j.spec.jvm.additionalArguments,AGG-CONFIG-SURFACE,safe,BDR-008,NEO-3-003-JVM-02,draft
env,config,config,Inject extra container env vars including NEO4J_PLUGINS for plugin install,https://neo4j.com/docs/operations-manual/current/docker/configuration/,neo4j-env.yaml; release_values.go Env,ConfigMap env,Neo4j.spec.podTemplate.env,AGG-TOPO-PLUGINS,deferred,BDR-004,NEO-2-003,draft
apoc_config,plugins,plugins,Configure APOC via apoc.conf key-value map separate from neo4j.conf,https://neo4j.com/docs/apoc/current/config/,neo4j-config.yaml L197-218; _volumeTemplate.tpl apoc volume,ConfigMap apoc-config; projected volume,Neo4j.spec.pluginDefinitions.apoc.config,AGG-TOPO-PLUGINS,breaking,BDR-004,NEO-2-003; NEO-3-003-APOC-01,draft
apoc_credentials,plugins,plugins,Mount JDBC/Elasticsearch secrets for APOC Extended URL config in apoc.conf,https://neo4j.com/labs/apoc/5/export/jdbc/,_apocCredentials.tpl; neo4j-config.yaml,Secret volumes; ConfigMap apoc-config,Neo4j.spec.pluginDefinitions.apoc.credentials,AGG-TOPO-PLUGINS,breaking,BDR-004,NEO-2-003; NEO-3-003-APOC-02,draft
ldapPasswordFromSecret,security,security,Reference Kubernetes Secret for LDAP system account password,https://neo4j.com/docs/operations-manual/current/authentication-authorization/ldap-integration/,_ldap.tpl; neo4j-config.yaml L49-52; release_values.go LdapPasswordFromSecret,Secret volume; ConfigMap user-config,Neo4j.spec.auth.ldap.systemPasswordSecretRef,AGG-AUTH,safe,,NEO-2-004; NEO-3-004-SEC-02,draft
ldapPasswordMountPath,security,security,Mount path for LDAP password Secret paired with ldapPasswordFromSecret,https://neo4j.com/docs/operations-manual/current/authentication-authorization/ldap-integration/,_ldap.tpl ldapVolumeMount; neo4j-config.yaml,VolumeMount on Neo4j pod,Neo4j.spec.auth.ldap (operator-managed path),AGG-AUTH,safe,,NEO-2-004; NEO-3-004-SEC-02,draft
securityContext,security,security,Pod-level UID/GID/fsGroup for non-root Neo4j and volume permissions,https://neo4j.com/docs/operations-manual/current/docker/mounting-volumes/,neo4j-statefulset.yaml; _volumeTemplate.tpl initChmodScript; release_values.go SecurityContext,StatefulSet pod securityContext,Neo4j.spec.security.podSecurityContext,none,safe,,NEO-2-004,draft
containerSecurityContext,security,security,Container-level non-root and capability dropping for Neo4j process,https://kubernetes.io/docs/tasks/configure-pod-container/security-context/,neo4j-statefulset.yaml L143; release_values.go ContainerSecurityContext,StatefulSet container securityContext,Neo4j.spec.security.containerSecurityContext,none,safe,,NEO-2-004,draft
readinessProbe,health,health,Operators need Kubernetes to know when a Neo4j pod can accept traffic so Services and load balancers do not route client...,https://neo4j.com/docs/operations-manual/current/kubernetes/,helm-charts/neo4j/templates/_helpers.tpl#neo4j.readinessProbe; helm-charts/neo4j/templates/neo4j-statefulset.yaml; helm-charts/internal/model/release_values.go#ReadinessProbe,StatefulSet pod spec readinessProbe,Neo4j.spec.probes.readiness,AGG-HEALTH-PROBES,safe,,NEO-2-009; NEO-3-009-PROBE-01; NEO-3-009-PROBE-02,draft
livenessProbe,health,health,Operators need Kubernetes to restart Neo4j pods that are truly dead while tolerating long JVM GC pauses. The chart uses ...,https://neo4j.com/docs/operations-manual/current/kubernetes/,helm-charts/neo4j/templates/_helpers.tpl#neo4j.livenessProbe; helm-charts/neo4j/templates/neo4j-statefulset.yaml,StatefulSet pod spec livenessProbe,Neo4j.spec.probes.liveness,AGG-HEALTH-PROBES,safe,,NEO-2-009; NEO-3-009-PROBE-01; NEO-3-009-PROBE-02,draft
startupProbe,health,health,Operators deploying Neo4j after backup restore or cluster formation need a long startup window before readiness/liveness...,https://neo4j.com/docs/operations-manual/current/clustering/,helm-charts/neo4j/templates/_helpers.tpl#neo4j.startupProbe; helm-charts/neo4j/templates/neo4j-statefulset.yaml,StatefulSet pod spec startupProbe,Neo4j.spec.probes.startup,AGG-HEALTH-PROBES,safe,,NEO-2-009; NEO-3-009-PROBE-01; NEO-3-009-PROBE-02,draft
nodeSelector,scheduling,scheduling,"Operators must pin Neo4j pods to nodes with suitable hardware (SSD, memory class) or tenancy labels. Helm validates at i...",https://neo4j.com/docs/operations-manual/current/kubernetes/,helm-charts/neo4j/templates/_labels.tpl#neo4j.nodeSelector; helm-charts/neo4j/templates/_helpers.tpl#neo4j.checkNodeSelectorLabels; helm-charts/neo4j/templates/neo4j-statefulset.yaml,StatefulSet pod spec nodeSelector,Neo4j.spec.scheduling.nodeSelector,AGG-SCHEDULING,safe,,NEO-2-008; NEO-3-008-SCH-01,draft
statefulset,scheduling,scheduling,"Operators may need to annotate the Neo4j StatefulSet for integration with backup tools, GitOps, or cloud-specific contro...",https://neo4j.com/docs/operations-manual/current/kubernetes/,helm-charts/neo4j/templates/neo4j-statefulset.yaml; helm-charts/internal/model/release_values.go#Statefulset,StatefulSet metadata,Neo4j.spec.podTemplate.statefulSetMetadata (draft) | N/A for V1,AGG-SCHEDULING,deferred,,NEO-2-008,draft
statefulset.metadata,scheduling,scheduling,Operators attach annotations to the StatefulSet object (not just pods) for controllers that watch workload-level metadat...,https://neo4j.com/docs/operations-manual/current/kubernetes/,helm-charts/neo4j/templates/neo4j-statefulset.yaml#L31-34; helm-charts/internal/model/release_values.go#Metadata,StatefulSet metadata.annotations,Neo4j.spec.podTemplate.statefulSetMetadata.annotations (draft),AGG-SCHEDULING,deferred,,NEO-2-008,draft
podSpec,scheduling,scheduling,"Operators need a single values block for pod-level Kubernetes settings beyond the Neo4j container itself: affinity, tole...",https://neo4j.com/docs/operations-manual/current/kubernetes/,helm-charts/neo4j/templates/neo4j-statefulset.yaml; helm-charts/internal/model/release_values.go#PodSpec,StatefulSet pod template spec,Neo4j.spec.scheduling + spec.podTemplate + spec.security.serviceAccount,AGG-SCHEDULING,safe,,NEO-2-008; NEO-3-008-SCH-01; NEO-3-008-SCH-02; NEO-3-008-SCH-03; NEO-3-008-SCH-04; NEO-3-008-SCH-05; NEO-3-008-SCH-06,draft
podSpec.podAntiAffinity,scheduling,scheduling,Operators running multiple Neo4j releases with the same neo4j.name must spread pods across nodes to survive host failure...,https://neo4j.com/docs/operations-manual/current/clustering/,helm-charts/neo4j/templates/_helpers.tpl#neo4j.affinity; helm-charts/neo4j/templates/neo4j-statefulset.yaml,StatefulSet pod spec affinity.podAntiAffinity,Neo4j.spec.scheduling.affinity.podAntiAffinity,AGG-SCHEDULING,safe,,NEO-2-008; NEO-3-008-SCH-02,draft
podSpec.nodeAffinity,scheduling,scheduling,"Operators express required or preferred node placement rules richer than simple nodeSelector (zones, instance types). Pa...",https://neo4j.com/docs/operations-manual/current/kubernetes/,helm-charts/neo4j/templates/_helpers.tpl#neo4j.affinity; helm-charts/neo4j/templates/neo4j-statefulset.yaml,StatefulSet pod spec affinity.nodeAffinity,Neo4j.spec.scheduling.affinity.custom (nodeAffinity portion),AGG-SCHEDULING,safe,,NEO-2-008; NEO-3-008-SCH-02,draft
podSpec.tolerations,scheduling,scheduling,"Operators schedule Neo4j on tainted nodes (dedicated graph pools, spot with taints) by declaring tolerations on the pod.",https://neo4j.com/docs/operations-manual/current/kubernetes/,helm-charts/neo4j/templates/_helpers.tpl#neo4j.tolerations; helm-charts/neo4j/templates/neo4j-statefulset.yaml,StatefulSet pod spec tolerations,Neo4j.spec.scheduling.tolerations,AGG-SCHEDULING,safe,,NEO-2-008; NEO-3-008-SCH-03,draft
